survive sex ageCat f_coeff immGG id year
1 Male 1 0.0807380676269531 0.28515625 304 1996
1 Male 1 0.0550155639648438 0.4384765625 302 1996
0 Male 1 0.0712890625 0.4765625 295 1996
1 Female 1 0.0828323364257812 0.37158203125 319 1996
0 Male 1 0.056915283203125 0.373046875 337 1996
1 Female 1 0.0618896484375 0.38525390625 316 1996
0 Female 1 0.0718917846679688 0.4921875 320 1996
1 Male 1 0.044464111328125 0.412109375 301 1996
1 Male 1 0.044464111328125 0.412109375 300 1996
0 Male 1 0.0565395355224609 0.341064453125 330 1996
0 Male 1 0.0565395355224609 0.341064453125 292 1996
0 Female 1 0.0565395355224609 0.341064453125 307 1996
0 Male 1 0.0335235595703125 0.46826171875 326 1996
0 Male 1 0 0.51806640625 329 1996
0 Male 1 0.056640625 0.4453125 332 1996
0 Female 1 0.0233306884765625 0.5009765625 318 1996
0 Female 1 0.030487060546875 0.37646484375 322 1996
1 Female 1 0.075439453125 0.47705078125 314 1996
0 Male 1 0.0802040100097656 0.549072265625 335 1996
0 Male 1 0.0718917846679688 0.4921875 327 1996
0 Female 1 0.0463676452636719 0.4140625 308 1996
1 Male 1 0.0463676452636719 0.4140625 298 1996
1 Female 1 0.0386123657226562 0.3505859375 315 1996
1 Female 1 0.0308990478515625 0.3916015625 317 1996
0 Male 1 0.0214776992797852 0.480712890625 325 1996
0 Male 1 0.0214776992797852 0.480712890625 334 1996
1 Female 1 0.056915283203125 0.373046875 312 1996
0 Male 1 0.056915283203125 0.373046875 338 1996
1 Male 1 0.0646266937255859 0.450927734375 303 1996
1 Female 3to5 0.051055908203125 0.1923828125 248 1996
1 Male 3to5 0.0359458923339844 0.60009765625 224 1996
1 Female 3to5 0.0597381591796875 0.33154296875 234 1996
1 Male 2 0.0608711242675781 0.44677734375 271 1996
1 Female 2 0.0107421875 0.564453125 279 1996
1 Female 2 0.0233306884765625 0.5009765625 273 1996
1 Male 2 0.044464111328125 0.412109375 272 1996
1 Female 2 0.040802001953125 0.3759765625 274 1996
1 Male 2 0.03564453125 0.52880859375 259 1996
1 Male 2 0.0239200592041016 0.580078125 260 1996
0 Male 2 0.056915283203125 0.373046875 261 1996
1 Male 2 0.056915283203125 0.373046875 262 1996
1 Female 2 0.110004425048828 0.25341796875 276 1996
1 Male 2 0.0696029663085938 0.2998046875 270 1996
0 Male 2 0.0308990478515625 0.3916015625 263 1996
0 Male 2 0.0597381591796875 0.33154296875 282 1996
0 Male 2 0.0597381591796875 0.33154296875 286 1996
0 Male 2 0.0437221527099609 0.410400390625 264 1996
1 Male 2 0.0667877197265625 0.29150390625 265 1996
1 Female 2 0.0667877197265625 0.29150390625 280 1996
1 Male 2 0.0931816101074219 0.57958984375 269 1996
1 Male 2 0.0341796875 0.56640625 266 1996
0 Male 2 0.102287292480469 0.46826171875 288 1996
1 Male 2 0.0653152465820312 0.3720703125 268 1996
1 Male 1 0.123386383056641 0.37451171875 291 1996
0 Female 1 0.0864410400390625 0.435546875 321 1996
0 Male 1 0.0983409881591797 0.353759765625 328 1996
1 Male 1 0.0983409881591797 0.353759765625 299 1996
0 Male 1 0.0519485473632812 0.375 331 1996
0 Male 1 0.0519485473632812 0.375 333 1996
0 Male 1 0.0359458923339844 0.60009765625 323 1996
1 Male 1 0.0608711242675781 0.44677734375 294 1996
0 Male 1 0.0204010009765625 0.5830078125 336 1996
0 Female 1 0.0204010009765625 0.5830078125 309 1996
1 Female 1 0.030487060546875 0.37646484375 305 1996
1 Female 1 0.030487060546875 0.37646484375 306 1996
0 Male 1 0.0863990783691406 0.28271484375 293 1996
0 Female 1 0.107315063476562 0.25 311 1996
1 Female 1 0.107315063476562 0.25 313 1996
0 Male 1 0.070556640625 0.59619140625 339 1996
1 Male 1 0.048858642578125 0.3271484375 297 1996
0 Male 1 0.0737133026123047 0.2587890625 324 1996
1 Female 1 0.0682353973388672 0.451171875 310 1996
1 Male 3to5 0.0233306884765625 0.5009765625 213 1996
1 Male 3to5 0.0460052490234375 0.4111328125 215 1996
1 Male 3to5 0.127349853515625 0.2451171875 218 1996
0 Female 3to5 0.152156829833984 0.43701171875 244 1996
1 Male 3to5 0.0864410400390625 0.28662109375 222 1996
1 Male 3to5 0 0.7080078125 217 1996
1 Female 3to5 0 0.79296875 235 1996
0 Female 3to5 0.048492431640625 0.458984375 229 1996
0 Male 3to5 0.0211639404296875 0.498046875 216 1996
0 Male 3to5 0.0186843872070312 0.68505859375 226 1996
0 Female 3to5 0.21136474609375 0.1396484375 231 1996
1 Female 3to5 0.0597381591796875 0.33154296875 239 1996
1 Female 3to5 0.0864410400390625 0.28662109375 233 1996
1 Female 3to5 0.106719970703125 0.2724609375 240 1996
1 Male 3to5 0.0233306884765625 0.5009765625 223 1996
1 Male 3to5 0.0107421875 0.4677734375 225 1997
1 Male 2 0.0807380676269531 0.28515625 304 1997
0 Male 2 0.0550155639648438 0.4384765625 302 1997
0 Female 2 0.0828323364257812 0.37158203125 319 1997
1 Female 2 0.0618896484375 0.38525390625 316 1997
1 Male 2 0.044464111328125 0.412109375 301 1997
1 Male 2 0.044464111328125 0.412109375 300 1997
0 Female 2 0.075439453125 0.47705078125 314 1997
1 Male 2 0.0463676452636719 0.4140625 298 1997
1 Female 2 0.0386123657226562 0.3505859375 315 1997
0 Female 2 0.0308990478515625 0.3916015625 317 1997
1 Female 2 0.056915283203125 0.373046875 312 1997
1 Male 2 0.0646266937255859 0.450927734375 303 1997
0 Male 1 0.0983409881591797 0.353759765625 378 1997
0 Male 1 0.0906162261962891 0.374755859375 349 1997
0 Male 1 0.0446243286132812 0.54345703125 381 1997
0 Female 1 0.0807380676269531 0.28515625 363 1997
1 Male 1 0.0228004455566406 0.51806640625 342 1997
1 Male 1 0.151985168457031 0.39453125 355 1997
1 Male 1 0.0801362991333008 0.3687744140625 354 1997
0 Male 1 0.0341529846191406 0.55029296875 345 1997
0 Female 1 0.03564453125 0.52880859375 365 1997
1 Male 1 0.03564453125 0.52880859375 379 1997
0 Male 1 0.0980720520019531 0.312255859375 376 1997
1 Female 1 0.013427734375 0.46923828125 372 1997
0 Male 1 0.0386123657226562 0.3505859375 343 1997
1 Female 1 0.0440864562988281 0.43212890625 370 1997
1 Male 1 0.0440864562988281 0.43212890625 360 1997
0 Male 1 0.0722036361694336 0.3216552734375 348 1997
1 Male 1 0.0239830017089844 0.44189453125 350 1997
0 Male 1 0.0476245880126953 0.47802734375 340 1997
1 Female 1 0.0491561889648438 0.46826171875 369 1997
0 Male 1 0.0600414276123047 0.546630859375 346 1997
0 Male 1 0.193277359008789 0.252685546875 377 1997
1 Female 1 0.0908012390136719 0.326904296875 364 1997
0 Female 1 0.0335235595703125 0.46826171875 373 1997
0 Male 1 0.0729856491088867 0.387451171875 375 1997
1 Male 1 0 0.51806640625 357 1997
0 Female 1 0 0.51806640625 367 1997
0 Female 1 0.0233306884765625 0.5009765625 371 1997
1 Male 1 0.0983409881591797 0.353759765625 361 1997
1 Male 1 0 0.665771484375 358 1997
1 Male 1 0.0946216583251953 0.4132080078125 352 1997
1 Male 1 0.0808143615722656 0.33837890625 353 1997
1 Male 1 0.0511970520019531 0.41748046875 351 1997
1 Female 1 0.0938491821289062 0.295654296875 362 1997
0 Female 1 0.0386123657226562 0.3505859375 366 1997
1 Male 1 0.0980720520019531 0.312255859375 341 1997
1 Male 1 0.0579414367675781 0.32080078125 359 1997
0 Male 1 0.0239830017089844 0.44189453125 344 1997
0 Male 1 0.0652952194213867 0.47607421875 380 1997
1 Male 1 0.051666259765625 0.37841796875 347 1997
1 Female 1 0.0946884155273438 0.4462890625 368 1997
0 Male 1 0.106369018554688 0.2841796875 382 1997
1 Female 1 0.0640792846679688 0.41943359375 374 1997
1 Male 1 0.0922765731811523 0.3585205078125 356 1997
1 Female 3to5 0.051055908203125 0.1923828125 248 1997
0 Male 3to5 0.0359458923339844 0.60009765625 224 1997
0 Female 3to5 0.0597381591796875 0.33154296875 234 1997
0 Male 3to5 0.0608711242675781 0.44677734375 271 1997
0 Female 3to5 0.0107421875 0.564453125 279 1997
0 Female 3to5 0.0233306884765625 0.5009765625 273 1997
1 Male 3to5 0.044464111328125 0.412109375 272 1997
0 Female 3to5 0.040802001953125 0.3759765625 274 1997
0 Male 3to5 0.03564453125 0.52880859375 259 1997
1 Male 3to5 0.0239200592041016 0.580078125 260 1997
1 Male 3to5 0.056915283203125 0.373046875 262 1997
1 Female 3to5 0.110004425048828 0.25341796875 276 1997
0 Male 3to5 0.0696029663085938 0.2998046875 270 1997
1 Male 3to5 0.0667877197265625 0.29150390625 265 1997
1 Female 3to5 0.0667877197265625 0.29150390625 280 1997
0 Male 3to5 0.0931816101074219 0.57958984375 269 1997
0 Male 3to5 0.0341796875 0.56640625 266 1997
1 Male 3to5 0.0653152465820312 0.3720703125 268 1997
1 Male 2 0.123386383056641 0.37451171875 291 1997
0 Male 2 0.0983409881591797 0.353759765625 299 1997
0 Male 2 0.0608711242675781 0.44677734375 294 1997
1 Female 2 0.030487060546875 0.37646484375 305 1997
0 Female 2 0.030487060546875 0.37646484375 306 1997
1 Female 2 0.107315063476562 0.25 313 1997
1 Male 2 0.048858642578125 0.3271484375 297 1997
0 Female 2 0.0682353973388672 0.451171875 310 1997
0 Male 3to5 0.0233306884765625 0.5009765625 213 1997
0 Male 3to5 0.0460052490234375 0.4111328125 215 1997
1 Male 3to5 0.127349853515625 0.2451171875 218 1997
0 Male 3to5 0.0864410400390625 0.28662109375 222 1997
0 Male 3to5 0 0.7080078125 217 1997
1 Female 3to5 0 0.79296875 235 1997
0 Female 3to5 0.0597381591796875 0.33154296875 239 1997
0 Female 3to5 0.0864410400390625 0.28662109375 233 1997
0 Female 3to5 0.106719970703125 0.2724609375 240 1997
0 Male 3to5 0.0233306884765625 0.5009765625 223 1997
0 Male 3to5 0.0107421875 0.4677734375 225 1998
1 Male 3to5 0.0807380676269531 0.28515625 304 1998
0 Female 3to5 0.0618896484375 0.38525390625 316 1998
1 Male 3to5 0.044464111328125 0.412109375 301 1998
0 Male 3to5 0.044464111328125 0.412109375 300 1998
1 Male 3to5 0.0463676452636719 0.4140625 298 1998
0 Female 3to5 0.0386123657226562 0.3505859375 315 1998
0 Female 3to5 0.056915283203125 0.373046875 312 1998
1 Male 3to5 0.0646266937255859 0.450927734375 303 1998
1 Male 2 0.0228004455566406 0.51806640625 342 1998
1 Male 2 0.151985168457031 0.39453125 355 1998
1 Male 2 0.0801362991333008 0.3687744140625 354 1998
0 Male 2 0.03564453125 0.52880859375 379 1998
1 Female 2 0.013427734375 0.46923828125 372 1998
0 Female 2 0.0440864562988281 0.43212890625 370 1998
1 Male 2 0.0440864562988281 0.43212890625 360 1998
1 Male 2 0.0239830017089844 0.44189453125 350 1998
0 Female 2 0.0491561889648438 0.46826171875 369 1998
0 Female 2 0.0908012390136719 0.326904296875 364 1998
0 Male 2 0 0.51806640625 357 1998
1 Male 2 0.0983409881591797 0.353759765625 361 1998
0 Male 2 0 0.665771484375 358 1998
0 Male 2 0.0946216583251953 0.4132080078125 352 1998
1 Male 2 0.0808143615722656 0.33837890625 353 1998
1 Male 2 0.0511970520019531 0.41748046875 351 1998
1 Female 2 0.0938491821289062 0.295654296875 362 1998
1 Male 2 0.0980720520019531 0.312255859375 341 1998
1 Male 2 0.0579414367675781 0.32080078125 359 1998
0 Male 2 0.051666259765625 0.37841796875 347 1998
0 Female 2 0.0946884155273438 0.4462890625 368 1998
1 Female 2 0.0640792846679688 0.41943359375 374 1998
1 Male 2 0.0922765731811523 0.3585205078125 356 1998
1 Male 1 0 0.688232421875 383 1998
1 Male 1 0.0446243286132812 0.54345703125 386 1998
0 Male 1 0.0906162261962891 0.374755859375 387 1998
1 Female 1 0.0708403587341309 0.37744140625 398 1998
1 Male 1 0.057708740234375 0.41796875 385 1998
0 Male 1 0.07391357421875 0.3330078125 384 1998
0 Female 1 0.07391357421875 0.3330078125 397 1998
0 Male 1 0.071044921875 0.447998046875 388 1998
1 Female 1 0.0550155639648438 0.4384765625 400 1998
0 Female 1 0.0815486907958984 0.4501953125 401 1998
1 Male 1 0.0485014915466309 0.36669921875 410 1998
0 Male 1 0.0485014915466309 0.36669921875 413 1998
0 Male 1 0.0768671035766602 0.317138671875 408 1998
0 Female 1 0.0459671020507812 0.51611328125 399 1998
0 Female 1 0.103662490844727 0.3115234375 405 1998
0 Male 1 0.0690555572509766 0.3521728515625 392 1998
1 Female 1 0.0744571685791016 0.444580078125 396 1998
0 Male 1 0.0476245880126953 0.47802734375 391 1998
1 Male 1 0.0476245880126953 0.47802734375 389 1998
0 Female 1 0.102233409881592 0.31591796875 403 1998
0 Male 1 0.111124038696289 0.349609375 390 1998
1 Male 1 0.0730819702148438 0.3388671875 393 1998
0 Female 1 0.0730819702148438 0.3388671875 404 1998
0 Male 1 0.0286786556243896 0.4359130859375 407 1998
0 Male 1 0.0768671035766602 0.317138671875 409 1998
1 Male 1 0.0768671035766602 0.317138671875 414 1998
1 Female 1 0.0335235595703125 0.46826171875 402 1998
0 Male 1 0.0335235595703125 0.46826171875 411 1998
0 Male 1 0.0615501403808594 0.309326171875 406 1998
0 Female 1 0.0615501403808594 0.309326171875 395 1998
1 Male 1 0.07391357421875 0.3330078125 394 1998
1 Male 1 0.0204010009765625 0.5830078125 412 1998
0 Female 3to5 0.051055908203125 0.1923828125 248 1998
0 Male 3to5 0.044464111328125 0.412109375 272 1998
1 Male 3to5 0.0239200592041016 0.580078125 260 1998
0 Male 3to5 0.056915283203125 0.373046875 262 1998
0 Female 3to5 0.110004425048828 0.25341796875 276 1998
0 Male 3to5 0.0667877197265625 0.29150390625 265 1998
1 Female 3to5 0.0667877197265625 0.29150390625 280 1998
0 Male 3to5 0.0653152465820312 0.3720703125 268 1998
1 Male 3to5 0.123386383056641 0.37451171875 291 1998
0 Female 3to5 0.030487060546875 0.37646484375 305 1998
0 Female 3to5 0.107315063476562 0.25 313 1998
0 Male 3to5 0.048858642578125 0.3271484375 297 1998
1 Male 3to5 0.127349853515625 0.2451171875 218 1998
1 Female 3to5 0 0.79296875 235 1998
1 Male 3to5 0.0807380676269531 0.28515625 304 1999
0 Male 3to5 0.044464111328125 0.412109375 301 1999
1 Male 3to5 0.0463676452636719 0.4140625 298 1999
1 Male 3to5 0.0646266937255859 0.450927734375 303 1999
1 Male 3to5 0.0228004455566406 0.51806640625 342 1999
0 Male 3to5 0.151985168457031 0.39453125 355 1999
1 Male 3to5 0.0801362991333008 0.3687744140625 354 1999
1 Female 3to5 0.013427734375 0.46923828125 372 1999
1 Male 3to5 0.0440864562988281 0.43212890625 360 1999
1 Male 3to5 0.0239830017089844 0.44189453125 350 1999
1 Male 3to5 0.0983409881591797 0.353759765625 361 1999
1 Male 3to5 0.0808143615722656 0.33837890625 353 1999
1 Male 3to5 0.0511970520019531 0.41748046875 351 1999
1 Female 3to5 0.0938491821289062 0.295654296875 362 1999
1 Male 3to5 0.0980720520019531 0.312255859375 341 1999
1 Male 3to5 0.0579414367675781 0.32080078125 359 1999
1 Female 3to5 0.0640792846679688 0.41943359375 374 1999
1 Male 3to5 0.0922765731811523 0.3585205078125 356 1999
1 Male 2 0 0.688232421875 383 1999
0 Male 2 0.0446243286132812 0.54345703125 386 1999
1 Female 2 0.0708403587341309 0.37744140625 398 1999
1 Male 2 0.057708740234375 0.41796875 385 1999
1 Female 2 0.0550155639648438 0.4384765625 400 1999
0 Male 2 0.0485014915466309 0.36669921875 410 1999
1 Female 2 0.0744571685791016 0.444580078125 396 1999
1 Male 2 0.0476245880126953 0.47802734375 389 1999
0 Male 2 0.0730819702148438 0.3388671875 393 1999
1 Male 2 0.0768671035766602 0.317138671875 414 1999
1 Female 2 0.0335235595703125 0.46826171875 402 1999
0 Male 2 0.07391357421875 0.3330078125 394 1999
1 Male 2 0.0204010009765625 0.5830078125 412 1999
1 Male 1 0.0368049144744873 0.4908447265625 427 1999
0 Female 1 0.0368049144744873 0.4908447265625 430 1999
1 Male 1 0.07391357421875 0.3330078125 419 1999
1 Male 1 0.07391357421875 0.3330078125 416 1999
0 Female 1 0.0757770538330078 0.422119140625 428 1999
1 Male 1 0.0818996429443359 0.440185546875 421 1999
1 Male 1 0.110115051269531 0.45947265625 420 1999
1 Female 1 0.0953502655029297 0.440673828125 424 1999
1 Male 1 0.105484008789062 0.44775390625 426 1999
1 Male 1 0.0722370147705078 0.455078125 418 1999
0 Female 1 0.0743255615234375 0.462158203125 425 1999
1 Male 1 0.0593023300170898 0.4736328125 422 1999
1 Male 1 0.0419259071350098 0.4898681640625 417 1999
0 Male 1 0.12518310546875 0.490966796875 429 1999
1 Male 1 0 0.70660400390625 423 1999
1 Male 3to5 0.0239200592041016 0.580078125 260 1999
1 Female 3to5 0.0667877197265625 0.29150390625 280 1999
1 Male 3to5 0.123386383056641 0.37451171875 291 1999
1 Male 6p 0.127349853515625 0.2451171875 218 1999
1 Female 6p 0 0.79296875 235 1999
1 Male 3to5 0.0807380676269531 0.28515625 304 2000
0 Male 3to5 0.0463676452636719 0.4140625 298 2000
0 Male 3to5 0.0646266937255859 0.450927734375 303 2000
1 Male 3to5 0.0228004455566406 0.51806640625 342 2000
1 Male 3to5 0.0801362991333008 0.3687744140625 354 2000
0 Female 3to5 0.013427734375 0.46923828125 372 2000
1 Male 3to5 0.0440864562988281 0.43212890625 360 2000
1 Male 3to5 0.0239830017089844 0.44189453125 350 2000
1 Male 3to5 0.0983409881591797 0.353759765625 361 2000
0 Male 3to5 0.0808143615722656 0.33837890625 353 2000
1 Male 3to5 0.0511970520019531 0.41748046875 351 2000
0 Female 3to5 0.0938491821289062 0.295654296875 362 2000
1 Male 3to5 0.0980720520019531 0.312255859375 341 2000
1 Male 3to5 0.0579414367675781 0.32080078125 359 2000
1 Female 3to5 0.0640792846679688 0.41943359375 374 2000
0 Male 3to5 0.0922765731811523 0.3585205078125 356 2000
1 Male 3to5 0 0.688232421875 383 2000
1 Female 3to5 0.0708403587341309 0.37744140625 398 2000
1 Male 3to5 0.057708740234375 0.41796875 385 2000
0 Female 3to5 0.0550155639648438 0.4384765625 400 2000
1 Female 3to5 0.0744571685791016 0.444580078125 396 2000
0 Male 3to5 0.0476245880126953 0.47802734375 389 2000
0 Male 3to5 0.0768671035766602 0.317138671875 414 2000
0 Female 3to5 0.0335235595703125 0.46826171875 402 2000
0 Male 3to5 0.0204010009765625 0.5830078125 412 2000
0 Male 2 0.0368049144744873 0.4908447265625 427 2000
1 Male 2 0.07391357421875 0.3330078125 419 2000
0 Male 2 0.07391357421875 0.3330078125 416 2000
1 Male 2 0.0818996429443359 0.440185546875 421 2000
1 Male 2 0.110115051269531 0.45947265625 420 2000
0 Female 2 0.0953502655029297 0.440673828125 424 2000
0 Male 2 0.105484008789062 0.44775390625 426 2000
1 Male 2 0.0722370147705078 0.455078125 418 2000
1 Male 2 0.0593023300170898 0.4736328125 422 2000
1 Male 2 0.0419259071350098 0.4898681640625 417 2000
1 Male 2 0 0.70660400390625 423 2000
1 Male 1 0.0737543106079102 0.403564453125 433 2000
0 Female 1 0.0858020782470703 0.3868408203125 437 2000
1 Male 1 0.0633082389831543 0.4593505859375 434 2000
0 Male 1 0 0.716064453125 431 2000
1 Female 1 0.114452362060547 0.357177734375 438 2000
1 Male 1 0.0593023300170898 0.4736328125 432 2000
1 Male 1 0.100512504577637 0.303955078125 435 2000
0 Female 1 0.0740036964416504 0.41339111328125 440 2000
1 Female 1 0.105484008789062 0.44775390625 439 2000
1 Male 1 0.105484008789062 0.44775390625 436 2000
1 Male 6p 0.0239200592041016 0.580078125 260 2000
1 Female 6p 0.0667877197265625 0.29150390625 280 2000
0 Male 3to5 0.123386383056641 0.37451171875 291 2000
1 Male 6p 0.127349853515625 0.2451171875 218 2000
0 Female 6p 0 0.79296875 235 2000
1 Male 6p 0.0807380676269531 0.28515625 304 2001
0 Male 3to5 0.0228004455566406 0.51806640625 342 2001
