ARS sex ageCat f_coeff immGG id year
4 Female 6plus 0.0402469635009766 0.5772705078125 445 2008
2 Female 1 0.051055908203125 0.1923828125 252 1994
6 Female 2 0.051055908203125 0.1923828125 252 1995
7 Female 3to5 0.051055908203125 0.1923828125 252 1996
5 Female 3to5 0.051055908203125 0.1923828125 252 1997
5 Female 3to5 0.051055908203125 0.1923828125 252 1998
0 Female 1 0.0225982666015625 0.517578125 245 1994
5 Female 2 0.0225982666015625 0.517578125 245 1995
0 Female 1 0.1014404296875 0.373046875 165 1994
3 Female 1 0.0957870483398438 0.2529296875 246 1994
0 Female 1 0.0548763275146484 0.40283203125 290 1994
4 Female 1 0.0597381591796875 0.33154296875 287 1994
4 Female 2 0.0597381591796875 0.33154296875 287 1995
3 Female 3to5 0.0597381591796875 0.33154296875 287 1996
6 Female 3to5 0.0597381591796875 0.33154296875 287 1997
4 Female 1 0.12493896484375 0.2548828125 250 1994
3 Female 1 0.0107421875 0.564453125 265 1995
1 Female 2 0.0107421875 0.564453125 265 1996
6 Female 3to5 0.0107421875 0.564453125 265 1997
6 Female 1 0.0233306884765625 0.5009765625 262 1995
7 Female 2 0.0233306884765625 0.5009765625 262 1996
10 Female 3to5 0.0233306884765625 0.5009765625 262 1997
6 Female 1 0.0204010009765625 0.5830078125 264 1995
6 Female 1 0.0227279663085938 0.472412109375 360 1995
6 Female 1 0.040802001953125 0.3759765625 263 1995
7 Female 2 0.040802001953125 0.3759765625 263 1996
7 Female 3to5 0.040802001953125 0.3759765625 263 1997
5 Female 1 0.0359458923339844 0.60009765625 303 1995
6 Female 1 0.110004425048828 0.25341796875 302 1995
6 Female 2 0.110004425048828 0.25341796875 302 1996
6 Female 3to5 0.110004425048828 0.25341796875 302 1997
0 Female 3to5 0.110004425048828 0.25341796875 302 1998
3 Female 1 0.0667877197265625 0.29150390625 361 1995
3 Female 2 0.0667877197265625 0.29150390625 361 1996
6 Female 3to5 0.0667877197265625 0.29150390625 361 1997
3 Female 3to5 0.0667877197265625 0.29150390625 361 1998
6 Female 3to5 0.0667877197265625 0.29150390625 361 1999
5 Female 6plus 0.0667877197265625 0.29150390625 361 2000
5 Female 6plus 0.0667877197265625 0.29150390625 361 2001
4 Female 6plus 0.0667877197265625 0.29150390625 361 2002
4 Female 1 0.162361145019531 0.404296875 304 1995
1 Female 1 0.0864410400390625 0.435546875 321 1996
6 Female 1 0.0204010009765625 0.5830078125 268 1996
4 Female 1 0.030487060546875 0.37646484375 314 1996
