row column Ainv
124 124 2.53333333333333
125 90 -1.02451225612806
125 104 -1.02451225612806
125 108 0.5
125 125 2.54902451225613
126 90 -1.02451225612806
126 104 -1.02451225612806
126 109 1
126 126 3.04902451225613
127 82 0.5
127 95 -1.01185770750988
127 106 -1.01185770750988
127 127 2.52371541501976
128 82 -1
128 88 -1
128 110 2.02772277227723
128 128 4.02772277227723
129 82 -1
129 88 -1
129 96 1.01386138613861
129 112 1.52883359253499
129 129 6.62722831205317
130 90 -1.02451225612806
130 103 0.5
130 104 -1.02451225612806
130 113 0.5
130 130 3.04902451225613
131 86 -1.02451225612806
131 98 -1.02451225612806
131 103 0.50542941757157
131 131 2.5544539298277
132 80 -1.03277861825517
132 86 -1.03277861825517
132 97 0.518349784864591
132 132 3.67335298683889
133 82 -1
133 88 -1
133 96 0.506930693069307
133 115 0.512
133 120 0.514056224899598
133 133 10.5927151247969
134 82 -1
134 88 -1
134 117 6.08316831683169
134 134 9.10064225101543
135 90 -1.02451225612806
135 104 -1.02451225612806
135 118 1
135 135 3.55064719304726
136 86 -1.02451225612806
136 98 -1.02451225612806
136 112 0.50809402716616
136 136 3.10465722204101
137 82 -1
137 88 -1
137 114 1.01386138613861
137 120 1.0281124497992
137 137 4.04197383593781
138 92 -1.03669956972918
138 101 -1.03669956972918
138 111 0.548216556247072
138 117 0.540119997362695
138 121 0.634006655831592
138 138 5.41610234098781
139 87 2
139 90 -1.02451225612806
139 104 -1.02451225612806
139 139 4.04902451225613
140 81 -1
140 97 1.64190272581507
140 98 -1
140 140 3.64190272581507
141 91 -1.03696202531646
141 96 1.01530643861932
141 99 -1.03696202531646
141 141 3.08923048925223
142 120 0.506930693069307
142 142 3.00693069306931
143 115 -1.024
143 133 -1.024
143 143 14.0357514962178
144 100 -1
144 119 -1
144 144 2.53989751701185
145 87 -1
145 135 0.501622680791133
145 139 -1
145 145 9.1283885955614
146 82 -1
146 98 -1
146 146 3.52380952380952
147 118 -1
147 135 -1
147 147 3.00378317940235
148 82 -1
148 98 -1
148 148 9.43100788161107
149 101 -1.07988399683628
149 107 -1.07988399683628
149 149 8.86430915692172
150 102 -1.04058431248015
150 123 -1.04058431248015
150 136 0.547538682618721
150 150 5.45168535644356
151 108 -1
151 125 -1
151 151 9.45830420186173
152 118 -1
152 134 0.508875188296865
152 135 -1
152 152 12.3200833700548
153 105 -1.01386138613861
153 106 1.5
153 116 -1.01386138613861
153 132 0.505803902198074
153 153 15.8081158880221
154 82 -1
154 98 -1
154 154 7.6087761612075
155 120 -1.0281124497992
155 132 0.583642063265888
155 137 -1.0281124497992
155 155 2.63986696286428
156 110 -1.01386138613861
156 128 -1.01386138613861
156 156 7.17346384712042
157 101 -1.07988399683628
157 107 -1.07988399683628
157 157 10.1382283671176
158 103 -1.01085883514314
158 131 -1.01085883514314
158 158 2.52171767028628
159 102 -1.04058431248015
159 123 -1.04058431248015
159 159 2.63194685469776
160 97 -1.09460181721005
160 140 -1.09460181721005
160 160 12.4679255342469
161 120 -1.0281124497992
161 137 -1.0281124497992
161 161 8.87343563172433
162 100 -1
162 119 -1
162 143 0.514185287471755
162 162 2.51418528747176
163 97 -1.09460181721005
163 140 -1.09460181721005
163 163 4.75966622041465
164 111 -1.09643311249414
164 112 1.59914108633058
164 138 -1.09643311249414
164 144 0.539897517011847
164 151 1.22669162377164
164 152 3.19345093070851
164 164 15.2519755054486
165 97 -1.03669956972918
165 120 1.09643311249414
165 132 -1.03669956972918
165 165 3.16983225195251
166 106 -1.01386138613861
166 111 -1.01386138613861
166 146 1.52380952380952
166 158 0.5
166 166 6.05802301925128
167 105 -1.01386138613861
167 116 -1.01386138613861
167 124 0.533333333333333
167 167 2.56105610561056
168 103 -1
168 130 -1
168 143 0.505304712558599
168 149 4.53654934777258
168 168 7.04185406033118
169 105 -1.01386138613861
169 109 1.5
169 116 -1.01386138613861
169 119 0.5
169 169 4.02772277227723
170 117 -1.08023999472539
170 122 1.23354916428249
170 138 -1.08023999472539
170 170 3.39402915373327
171 98 -1
171 119 -1
171 171 4.64367734010493
172 82 -1
172 110 0.505679012345679
172 127 -1
172 152 1.52284169597075
172 172 5.55111188328238
173 110 0.501891589701175
173 113 -1
173 130 -1
173 154 5.6087761612075
173 173 12.6643561640073
174 87 -1
174 110 2.50811340395567
174 139 -1
174 152 2.01410636630453
174 174 9.54826175757781
175 101 -1.07988399683628
175 107 -1.07988399683628
175 157 0.50818858560794
175 175 2.6679565792805
176 101 -1.07988399683628
176 107 -1.07988399683628
176 153 0.504061038641398
176 176 2.66382903231395
177 97 -1.09460181721005
177 140 -1.09460181721005
177 159 0.550778229737452
177 177 9.88690346229929
178 87 -1
178 139 -1
178 160 9.68743387066658
178 178 16.9197579629173
179 147 1.00378317940235
179 179 2.00378317940235
180 122 -1.23354916428249
180 170 -1.23354916428249
180 180 4.1147526536911
181 96 -1.01530643861932
181 141 -1.01530643861932
181 181 3.61372420489929
182 117 -1.01386138613861
182 134 -1.01386138613861
182 182 14.7393145175734
183 106 -1.01386138613861
183 111 -1.01386138613861
183 138 1.62035999208809
183 172 1.01135802469136
183 183 6.18565356034476
184 87 -1
184 106 0.501622680791133
184 134 0.508598745886881
184 139 -1
184 166 2.00649072316453
184 184 13.5670343553672
185 132 -1.16728412653178
185 155 -1.16728412653178
185 185 5.00340682612105
186 96 -1.01386138613861
186 129 -1.01386138613861
186 172 0.511233150274588
186 186 12.0208053139239
187 136 -1.09507736523744
187 150 -1.09507736523744
187 187 11.4366789359946
188 146 -1.01587301587302
188 166 -1.01587301587302
188 171 1.05567010309278
188 188 3.08741613483881
189 149 -1.0081220772828
189 163 2.57046258599456
189 164 1.60962790126489
189 168 -1.0081220772828
189 173 0.507649286970263
189 189 16.0152387064984
190 114 -1.01386138613861
190 129 0.527427246973989
190 137 -1.01386138613861
190 171 1.58800723701215
190 190 8.42361860963466
191 133 7.05972820682797
191 135 -1.00324536158227
191 145 -1.00324536158227
191 178 2.14787624541164
191 191 13.4023120070708
192 105 -1.01386138613861
192 116 -1.01386138613861
192 142 1.5
192 177 5.59007444168734
192 192 13.2571625476438
193 98 1.53123880434275
193 117 -1.01386138613861
193 134 -1.01386138613861
193 177 1.5568471564544
193 193 16.6935080065307
194 160 -1.0197298811228
194 178 -1.0197298811228
194 194 9.32501573484931
195 124 -1.06666666666667
195 167 -1.06666666666667
195 195 6.42752666951725
196 105 -1.01386138613861
196 116 -1.01386138613861
196 196 21.7949506811094
197 119 -1
197 169 -1
197 197 10.0707866085366
198 105 -1.01386138613861
198 116 -1.01386138613861
198 198 5.05393554356532
199 160 -1.0197298811228
199 178 -1.0197298811228
199 199 5.19726320260152
200 110 -1.01386138613861
200 128 -1.01386138613861
200 200 4.63626521988793
201 98 -1
201 119 -1
201 201 6.17327071559341
202 101 -1.07988399683628
202 107 -1.07988399683628
202 202 4.82802523523297
203 98 2.86694197522223
203 109 -1
203 126 -1
203 203 5.46066734462457
204 98 0.505277441539517
204 158 -1
204 166 -1
204 204 3.03935399664143
205 101 -1.07988399683628
205 107 -1.07988399683628
205 205 9.40499225621934
206 101 -1.07988399683628
206 107 -1.07988399683628
206 206 3.18121305985051
207 112 -1.01618805433232
207 136 -1.01618805433232
207 143 3.68451826388666
207 149 0.525010414330118
207 207 7.30571454258306
208 153 2.56553192822023
208 154 -1.01977748385591
208 173 -1.01977748385591
208 183 1.02621277128809
208 199 3.15780344035592
208 208 9.85966633514384
209 143 -1.02837057494351
209 162 -1.02837057494351
209 182 2.6834821062976
209 209 4.74022325618462
210 117 5.5
210 120 -1.01386138613861
210 142 -1.01386138613861
210 153 1
210 183 0.5
210 184 8.02596289265813
210 210 18.0652173515096
211 96 -1.01530643861932
211 141 -1.01530643861932
211 152 3.08080918877415
211 185 2.6688385730575
211 186 1.03434343434343
211 211 11.4903510337201
212 151 6.23161257809009
212 159 -1.1015564594749
