row column Ainv
131 131 5.15652564314303
132 103 -1
132 118 -1
132 126 0.512
132 132 2.512
133 36 -1.01185770750988
133 120 -1.01185770750988
133 133 3.02371541501976
134 36 -1.01185770750988
134 102 3
134 103 3
134 120 -1.01185770750988
134 134 8.52371541501976
135 36 -1.01185770750988
135 100 0.5
135 120 -1.01185770750988
135 135 2.52371541501976
136 35 -1.01386138613861
136 36 1.5
136 122 -1.01386138613861
136 136 15.8081158880221
137 123 -1.0281124497992
137 128 -1.0281124497992
137 137 2.63986696286428
138 123 -1.0281124497992
138 128 -1.0281124497992
138 138 8.87343563172433
139 36 -1.01386138613861
139 112 1.52380952380952
139 121 -1.01386138613861
139 139 6.05802301925128
140 35 -1.01386138613861
140 110 0.533333333333333
140 122 -1.01386138613861
140 140 2.56105610561056
141 35 -1.01386138613861
141 122 -1.01386138613861
141 134 0.5
141 141 4.02772277227723
142 36 -1.01386138613861
142 121 -1.01386138613861
142 142 6.18565356034476
143 101 -1.01386138613861
143 125 -1.01386138613861
143 143 12.0208053139239
144 35 -1.01386138613861
144 37 1.5
144 122 -1.01386138613861
144 144 13.2571625476438
145 35 -1.01386138613861
145 122 -1.01386138613861
145 145 21.7949506811094
146 35 -1.01386138613861
146 122 -1.01386138613861
146 146 5.05393554356532
147 37 -1.01386138613861
147 123 -1.01386138613861
147 136 1
147 142 0.5
147 147 18.0652173515096
148 101 -1.01386138613861
148 125 -1.01386138613861
148 145 2.02171767028628
148 148 7.60803810811785
149 101 -1.01386138613861
149 126 -1.01386138613861
149 149 2.02772277227723
150 123 -1.0281124497992
150 126 -1.0281124497992
150 150 2.05622489959839
151 100 3.50342130987292
151 106 -1.10344827586207
151 129 -1.10344827586207
151 151 5.71031786159706
152 126 -1.024
152 132 -1.024
152 152 14.0357514962178
153 103 -1
153 134 -1
153 153 2.53989751701185
154 103 -1
154 134 -1
154 152 0.514185287471755
154 154 2.51418528747176
155 102 -1
155 134 -1
155 155 4.64367734010493
156 100 -1
156 135 -1
156 142 1.01135802469136
156 143 0.511233150274588
156 156 5.55111188328238
157 112 -1.01587301587302
157 139 -1.01587301587302
157 155 1.05567010309278
157 157 3.08741613483881
158 125 0.527427246973989
158 128 -1.01386138613861
158 131 -1.01386138613861
158 155 1.58800723701215
158 158 8.42361860963466
159 110 -1.06666666666667
159 140 -1.06666666666667
159 159 6.42752666951725
160 134 -1
160 141 -1
160 160 10.0707866085366
161 102 -1
161 134 -1
161 161 6.17327071559341
162 128 -1.01386138613861
162 131 -1.01386138613861
162 162 4.85070082114177
163 36 -1
163 136 -1
163 163 14.6858927110458
164 112 -1.01587301587302
164 139 -1.01587301587302
164 164 2.03174603174603
165 37 -1
165 144 -1
165 165 2
166 37 -1
166 144 -1
166 166 2
167 102 -1
167 134 -1
167 167 2
168 102 -1
168 134 -1
168 168 2
169 103 -1
169 134 -1
169 169 2
170 103 -1
170 134 -1
170 170 2
171 112 -1.01587301587302
171 139 -1.01587301587302
171 171 2.03174603174603
172 37 -1
172 144 -1
172 172 2
173 103 -1
173 134 -1
173 173 2
174 36 -1
174 136 -1
174 174 2
175 102 -1
175 134 -1
175 175 2
176 36 -1
176 136 -1
176 176 2
177 142 -1
177 147 -1
177 177 2
178 103 -1
178 134 -1
178 178 4.75685680632677
179 102 -1
179 134 -1
179 179 2
180 145 -1.01085883514314
180 148 -1.01085883514314
180 180 2.54852592095749
181 145 -1.01085883514314
181 148 -1.01085883514314
181 181 2.02171767028628
182 136 -1
182 147 -1
182 182 2
183 145 -1.01085883514314
183 148 -1.01085883514314
183 183 2.02171767028628
184 136 -1
184 147 -1
184 184 2
185 145 -1.01085883514314
185 148 -1.01085883514314
185 185 2.02171767028628
186 100 -1.00097751710655
186 102 1.02451225612806
186 117 1.54916792738275
186 151 -1.00097751710655
186 186 4.57563521772392
187 34 3.58579289644822
187 100 -1.00097751710655
187 151 -1.00097751710655
187 187 5.58774793066132
188 100 -1.00097751710655
188 151 -1.00097751710655
188 188 2.52030481907769
189 100 -1.00097751710655
189 151 -1.00097751710655
189 189 3.05221144446951
190 100 -1.00097751710655
190 111 1.64190272581507
190 151 -1.00097751710655
190 190 4.16220754489276
191 100 -1.00097751710655
191 119 1.03696202531646
191 151 -1.00097751710655
191 191 3.03891705952955
192 100 -1.00097751710655
192 151 -1.00097751710655
192 189 1.05025641025641
192 192 5.13338006942981
193 152 -1.02837057494351
193 154 -1.02837057494351
193 193 4.74022325618462
194 155 -1.05867149134143
